trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
433,False,"{'a': 0.002, 'e': 0.13399999999999923}",25,3,31.376352354324585,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
434,False,"{'a': 0.002, 'e': 0.13199999999999923}",25,12,-18.434504130403027,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
435,False,"{'a': 0.002, 'e': 0.12999999999999923}",20,12,17.812137060224064,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
436,False,"{'a': 0.002, 'e': 0.12799999999999923}",30,12,-19.357490222421262,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
437,False,"{'a': 0.002, 'e': 0.12599999999999922}",20,6,5.9857911665701735,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
438,False,"{'a': 0.002, 'e': 0.12399999999999922}",30,13,23.702033388367106,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
439,False,"{'a': 0.002, 'e': 0.12199999999999922}",25,8,25.210827170964766,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
440,False,"{'a': 0.002, 'e': 0.11999999999999922}",30,22,15.119740785807293,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
441,False,"{'a': 0.002, 'e': 0.11799999999999922}",35,25,5.646983775566333,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
442,False,"{'a': 0.002, 'e': 0.11599999999999921}",20,1,7.763953997756156,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
443,False,"{'a': 0.002, 'e': 0.11399999999999921}",25,7,33.987598666608925,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.002, 'e': 0.11199999999999921}",20,0,25.09034119415121,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
445,False,"{'a': 0.002, 'e': 0.10999999999999921}",25,10,29.63746056863974,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.002, 'e': 0.10799999999999921}",25,14,20.635335567258696,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.002, 'e': 0.1059999999999992}",20,5,24.849715305756842,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
448,False,"{'a': 0.002, 'e': 0.1039999999999992}",30,15,23.6672475533934,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.002, 'e': 0.1019999999999992}",20,15,10.62398251607277,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.002, 'e': 0.0999999999999992}",35,15,31.06807415134527,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.002, 'e': 0.0979999999999992}",25,20,7.654322640854673,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
452,False,"{'a': 0.002, 'e': 0.0959999999999992}",20,11,6.463208323620826,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
453,False,"{'a': 0.002, 'e': 0.0939999999999992}",20,10,18.596463343758018,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
454,False,"{'a': 0.002, 'e': 0.0919999999999992}",25,6,24.778323649161546,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
455,False,"{'a': 0.002, 'e': 0.08999999999999919}",30,18,19.679907086174627,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
456,False,"{'a': 0.002, 'e': 0.08799999999999919}",20,14,10.353866712223265,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
457,False,"{'a': 0.002, 'e': 0.08599999999999919}",20,12,16.405648132756923,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
458,False,"{'a': 0.002, 'e': 0.08399999999999919}",25,17,15.43230309435849,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
459,False,"{'a': 0.002, 'e': 0.08199999999999918}",25,16,18.788779780899063,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
460,False,"{'a': 0.002, 'e': 0.07999999999999918}",25,12,13.475846811886868,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
461,False,"{'a': 0.002, 'e': 0.07799999999999918}",20,8,22.09320350077769,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
462,False,"{'a': 0.002, 'e': 0.07599999999999918}",25,19,11.566194553640258,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
463,False,"{'a': 0.002, 'e': 0.07399999999999918}",25,7,27.115478399402985,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
464,False,"{'a': 0.002, 'e': 0.07199999999999918}",20,6,25.69292785858663,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
465,False,"{'a': 0.002, 'e': 0.06999999999999917}",20,13,3.1646821364967863,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
466,False,"{'a': 0.002, 'e': 0.06799999999999917}",25,9,28.441465242815035,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
467,False,"{'a': 0.002, 'e': 0.06599999999999917}",25,13,22.990815859377662,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
468,False,"{'a': 0.002, 'e': 0.06399999999999917}",25,12,10.643562710561998,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
469,False,"{'a': 0.002, 'e': 0.06199999999999917}",30,18,23.806070798562832,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
470,False,"{'a': 0.002, 'e': 0.059999999999999165}",30,17,24.45386910886246,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
471,False,"{'a': 0.002, 'e': 0.05799999999999916}",20,9,20.46801913797774,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
472,False,"{'a': 0.002, 'e': 0.05599999999999916}",20,14,12.849805748607544,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
473,False,"{'a': 0.002, 'e': 0.05399999999999916}",25,16,3.2693249953822976,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
474,False,"{'a': 0.002, 'e': 0.05199999999999916}",30,0,34.688886413401846,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
475,False,"{'a': 0.002, 'e': 0.049999999999999156}",25,10,24.275022974806344,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,8,21.121245432598172,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,14,10.630436658215569,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,11,13.833554391427949,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,10,20.822889653362665,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,17,25.560355236023298,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,6,27.08936610458741,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,5,35.47472238791085,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,14,24.349323487746,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,12,15.310166189463946,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
