trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
159,False,"{'a': 0.003041558, 'e': 0.8867333378886948}",25,0,-117.54208134121635,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
160,False,"{'a': 0.003041558, 'e': 0.8853231830974568}",30,0,-119.39929032324137,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
161,False,"{'a': 0.003041558, 'e': 0.8839048381213072}",20,0,-87.35218018060604,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
162,False,"{'a': 0.003041558, 'e': 0.8824783160814516}",20,0,-65.30816003340733,"{0: 12, 1: 0, 2: 8, 3: 0, 4: 0}",0
163,False,"{'a': 0.003041558, 'e': 0.8810436301747422}",30,0,-146.74520099537102,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
164,False,"{'a': 0.003041558, 'e': 0.8796007936735559}",20,0,-57.48281245185481,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
165,False,"{'a': 0.003041558, 'e': 0.8781498199256713}",25,8,-87.89658293654205,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 2}",1
166,False,"{'a': 0.003041558, 'e': 0.876690722354145}",20,0,-33.925297210161666,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
167,False,"{'a': 0.003041558, 'e': 0.8752235144571878}",25,11,-69.70019016139707,"{0: 7, 1: 4, 2: 2, 3: 0, 4: 1}",1
168,False,"{'a': 0.003041558, 'e': 0.8737482098080396}",20,0,-127.04241947792586,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
169,False,"{'a': 0.003041558, 'e': 0.8722648220548439}",20,0,-39.13562247032116,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
170,False,"{'a': 0.003041558, 'e': 0.8707733649205217}",20,14,12.228865729444708,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.003041558, 'e': 0.8692738522026442}",20,0,-169.28750500638287,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
172,False,"{'a': 0.003041558, 'e': 0.8677662977733054}",30,4,-101.05765944305561,"{0: 17, 1: 3, 2: 3, 3: 2, 4: 1}",1
173,False,"{'a': 0.003041558, 'e': 0.8662507155789936}",20,7,-56.36669160376038,"{0: 6, 1: 3, 2: 3, 3: 1, 4: 0}",1
174,False,"{'a': 0.003041558, 'e': 0.864727119640463}",20,0,-34.77041670944171,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
175,False,"{'a': 0.003041558, 'e': 0.8631955240526028}",20,0,-171.92722179630258,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
176,False,"{'a': 0.003041558, 'e': 0.8616559429843081}",20,0,-89.73778574670668,"{0: 15, 1: 2, 2: 0, 3: 1, 4: 2}",0
177,False,"{'a': 0.003041558, 'e': 0.8601083906783478}",20,0,-85.41372720614102,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",1
