trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
158,False,"{'a': 0.006007875, 'e': 0.38936566073474255}",30,6,11.843699054165551,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.006007875, 'e': 0.387033413455932}",20,0,-44.32816167166065,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
160,False,"{'a': 0.006007875, 'e': 0.3847151360206851}",30,4,-24.298681094632244,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 0}",1
161,False,"{'a': 0.006007875, 'e': 0.3824107447515415}",35,0,-18.275860965845364,"{0: 32, 1: 1, 2: 0, 3: 1, 4: 1}",0
162,False,"{'a': 0.006007875, 'e': 0.38012015647225744}",20,8,18.504061710161558,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.006007875, 'e': 0.3778432885048036}",20,7,-21.863555021621995,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
164,False,"{'a': 0.006007875, 'e': 0.37558005866638056}",25,13,4.401588844338945,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
165,False,"{'a': 0.006007875, 'e': 0.373330385266453}",20,9,17.029476594895353,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.006007875, 'e': 0.3710941871038006}",30,17,26.238243935325926,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.006007875, 'e': 0.36887138346358733}",20,9,6.894276478833601,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
168,False,"{'a': 0.006007875, 'e': 0.3666618941144479}",20,7,-17.273799205244494,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
169,False,"{'a': 0.006007875, 'e': 0.3644656393055923}",25,0,-88.59089488230656,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 3}",0
170,False,"{'a': 0.006007875, 'e': 0.3622825397639265}",35,0,-74.74652608206394,"{0: 27, 1: 1, 2: 5, 3: 1, 4: 1}",0
