trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
106,False,"{'a': 0.006007875, 'e': 0.5321515961837027}",30,0,8.599535384551608,"{0: 26, 1: 2, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.006007875, 'e': 0.5289640805980392}",20,14,-2.093851197223101,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.006007875, 'e': 0.5257956577966157}",20,0,-70.32817461450618,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
109,False,"{'a': 0.006007875, 'e': 0.5226462134162548}",25,0,-15.189198177255301,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
110,False,"{'a': 0.006007875, 'e': 0.5195156337787991}",25,0,-115.3321579529934,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
111,False,"{'a': 0.006007875, 'e': 0.5164038058870077}",20,14,-32.13388406697619,"{0: 4, 1: 0, 2: 0, 3: 2, 4: 0}",1
112,False,"{'a': 0.006007875, 'e': 0.5133106174204782}",30,0,-5.23712416421091,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
113,False,"{'a': 0.006007875, 'e': 0.5102359567315916}",20,3,-32.8403078624656,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 0}",1
114,False,"{'a': 0.006007875, 'e': 0.5071797128414833}",20,5,4.118673040922667,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.006007875, 'e': 0.5041417754360368}",35,3,-35.80626290987492,"{0: 25, 1: 2, 2: 4, 3: 1, 4: 0}",1
116,False,"{'a': 0.006007875, 'e': 0.5011220348619023}",25,0,-92.68726307828365,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
117,False,"{'a': 0.006007875, 'e': 0.49812038212253834}",25,0,-58.34371339392425,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
118,False,"{'a': 0.006007875, 'e': 0.4951367088742783}",25,16,1.5427084276415004,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.006007875, 'e': 0.49217090742241904}",20,0,-79.54340138684306,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
120,False,"{'a': 0.006007875, 'e': 0.48922287071733417}",20,0,-36.6886073432597,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
121,False,"{'a': 0.006007875, 'e': 0.4862924923506099}",20,4,-18.633933211577475,"{0: 11, 1: 4, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.006007875, 'e': 0.48337966655120446}",30,7,-18.818341634017443,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
123,False,"{'a': 0.006007875, 'e': 0.48048428818163014}",35,10,-62.934617707767,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",1
124,False,"{'a': 0.006007875, 'e': 0.47760625273415847}",25,0,-82.2185805471951,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
125,False,"{'a': 0.006007875, 'e': 0.474745456327048}",20,0,-64.806667676278,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
126,False,"{'a': 0.006007875, 'e': 0.4719017957007949}",25,9,-94.3981978306884,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 2}",1
127,False,"{'a': 0.006007875, 'e': 0.46907516821440554}",30,22,13.626709861043576,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.006007875, 'e': 0.4662654718416919}",20,1,-32.88166312535564,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 0}",1
129,False,"{'a': 0.006007875, 'e': 0.4634726051675891}",30,19,12.204980999999218,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.006007875, 'e': 0.46069646738449443}",25,13,-44.90845029234606,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
